,ShannonRadii,AtomicVolum wmean,chargedensityvoldens,HeatFusion wmean,Density wstd,energysStab,NfValenc wstd,VegardVolume,density
"mp-300763837, Na2SrVP2O9, Na2SrLiVP2O9, mp-565217, mp-763837",0.4905062975438608,2233.789965717332,0.9527806966592156,0.9758666666666668,133.97488795361545,0.0,0.0,0.8111527857830954,3.440620036571608
"mp-300763838, Na2CaVP2O9, Na2LiCaVP2O9, mp-566264, mp-763838",0.4860228641744189,2233.6248198043445,0.8962822784980223,0.9906666666666666,138.68560569209706,0.0,0.0,0.8122825078160546,3.148916429731082
"mp-300763840, Rb2V(PO4)2, Rb2LiV(PO4)2, mp-19481, mp-763840",0.5273735314818959,2865.2525457203737,0.8393255981976119,1.244615384615385,166.9967530508856,0.0,0.0,0.8072856005897253,3.0961181892141503
"mp-300763841, SrVPO6, SrLiVPO6, mp-25164, mp-763841",0.503152888936853,3101.404587493071,1.0092304050188718,1.3552777777777776,246.1610076339114,0.0,0.0,0.8261584958123078,3.6974144601398073
"mp-300763842, Na3MnBPO7, Na3LiMnBPO7, mp-770015, mp-763842",0.5154351492003204,2004.7910730095398,0.8124874735992574,1.3998461538461542,190.25037896876842,0.00899909453983394,0.0,0.8398375413233901,2.8805938940277116
"mp-300763851, BaCaVP2O9, BaLiCaVP2O9, mp-565627, mp-763851",0.5021905454192895,2392.9707729890865,1.0250468514406854,1.0888571428571427,147.66605213425018,0.0027220920535713233,0.0,0.8294224516739659,3.789128142131697
"mp-300763869, Fe5Co3O16, Li4Fe5Co3O16, mp-771671, mp-773387",0.41117650651138415,4132.875403760104,1.3029787681303593,1.6829166666666666,683.2988355910603,0.16413755747395786,0.0,0.9722398449942626,4.682092133022004
"mp-300763904, MnVP2(O4F)2, LiMnVP2(O4F)2, mp-777435, mp-778336",0.5249872217911388,2657.4754330413184,0.8797046554717646,1.0537142857142858,218.94285843965625,0.00795645853174598,0.0,0.954944929526284,3.1400837997322584
"mp-300763959, Mn3FeO8, Li2Mn3FeO8, mp-773229, mp-770175",0.4280778071339391,4132.944244730044,1.2167632740265428,1.5083333333333335,773.2063672938826,0.05982767161458202,0.0,0.9713614351566292,4.398761332235779
"mp-300763961, TiV3O8, Li2TiV3O8, mp-849354, mp-776619",0.5175694979141829,4133.243009548249,1.0366569401232302,2.2336111111111108,649.5816520618539,0.029623602708333863,0.0,1.574919523680903,3.760959642514794
"mp-300764017, Co3NiO8, Li2Co3NiO8, mp-773140, mp-769860",0.3454348804387193,4132.819616622396,1.4533657123515236,1.8844444444444441,924.6219815121243,0.07500227486111033,0.0,0.9771291070584878,5.224350268222875
"mp-300764036, Mn3CrO8, Li2Mn3CrO8, mp-773120, mp-761312",0.39795370072242015,4132.953010632941,1.2339244351329437,1.7080555555555554,778.6132567166536,0.04336565604166687,0.0,0.9724366239243972,4.465686625272821
"mp-300764273, Na2MnPCO7, Na2LiMnPCO7, mp-780530, mp-764273",0.551013722689557,2171.2251456531308,0.7691560764125683,2.593166666666667,209.28253318449936,0.0,0.0,0.8406637683692723,2.715642522852096
"mp-300764280, MnF4, LiMnF4, mp-765253, mp-764361",0.6980835350740238,7441.8646973780005,0.8934930846849473,1.3930000000000002,746.3216,0.07886305774999869,0.0,0.8923730657072138,3.281098044920036
"mp-300764301, K2VPO6, K2LiVPO6, mp-565565, mp-764301",0.5449112651603657,2793.673443708505,0.7024494912162128,1.15075,225.21419676669478,0.0,0.0,0.8734517323927241,2.482162366816328
"mp-300764302, RbV(PO4)2, RbLiV(PO4)2, mp-565681, mp-764302",0.535638688349071,3102.093571366968,0.8170081900775591,1.3027083333333334,191.1827215085524,0.0,0.0,0.8223084684361808,2.9621372699042365
"mp-300764310, KMnPCO7, KLiMnPCO7, mp-773432, mp-764256",0.5679100481364566,2368.5541808382986,0.6994203399120332,2.776818181818182,237.4740976121525,0.0,0.0,0.8389204328765858,2.4626028607062302
"mp-300764313, KMnP3HO10, KLiMnP3HO10, mp-542842, mp-764313",0.5646250756068257,2558.909081753749,0.7266411030029472,0.9140625,194.2614350070488,0.0,0.0,0.942921883425973,2.5445618200058058
"mp-300764317, Mn2F5, LiMn2F5, mp-766778, mp-764317",0.7199552228597241,6645.1763032553,0.8602173549718581,1.9353571428571428,1066.5371428571427,0.0689820430952377,0.0,1.018762145211628,3.1737457192199687
"mp-300764324, VF4, LiVF4, mp-766158, mp-782719",0.742657740019947,7442.027916753537,0.8047139645265552,2.252,610.3216,0.04613312299999972,0.0,0.9566209921701196,2.9619960856502794
"mp-300764332, Mn5O5F, LiMn5O5F, mp-767352, mp-764332",0.60981378520039,3382.5350885485936,1.0882531768297017,1.997121212121212,1600.4431953097437,0.05944499545454464,0.0,1.0248188511921854,3.9985291960601295
"mp-300764358, FeF3, LiFeF3, mp-556197, mp-764358",0.5820817938766558,6977.075383369418,0.9370090347874408,1.821875,983.6139999999999,0.0,0.0,1.2818128059081164,3.4130682574628235
"mp-300764362, NiF3, LiNiF3, mp-614777, mp-764362",0.4796523458105574,6976.970873303438,1.1784367279475674,2.280625,1112.864,0.0,0.0,1.3616433694926469,4.24079581215216
"mp-300764394, Mn5OF11, Li3Mn5OF11, mp-767182, mp-764394",0.7870818412427194,4377.861861361412,0.9499288771861132,1.3250000000000002,1035.4250692132994,0.05052466556372704,0.0,0.990231330720726,3.500268437936765
"mp-300764395, Mn3Cr2Sb3O16, Li4Mn3Cr2Sb3O16, mp-775041, mp-764395",0.4588108871528078,3100.276592942774,1.3590749865657463,1.4960416666666667,362.7068150635177,0.09470099970486244,0.0,0.9640721166733645,5.122744368866365
"mp-300764431, Mn2F5, LiMn2F5, mp-765924, mp-764431",0.5884448486018478,6645.1763032553,1.1110470158951964,1.9353571428571428,1066.5371428571427,0.06915803452380942,0.0,0.9315492723262674,4.099174110088558
"mp-300764438, CrNi5(PO4)6, Li4CrNi5(PO4)6, mp-772386, mp-764438",0.5304565437436545,3100.339000599499,0.9846325473146011,1.5619444444444444,475.70299499568114,0.08829868811631769,0.0,1.16201078980884,3.457099111321632
"mp-300764639, MnFe(PO4)2, Li2MnFe(PO4)2, mp-764402, mp-764639",0.5300075347998338,3100.3749092704925,0.9633991403819872,1.3658333333333332,266.2451687680089,0.011784399999999806,0.0,0.8451020801707313,3.4183936815905867
