,chargedensityvoldens,HeatFusion wmean,numberDensity,IsFBlock wmean,GSvolume_p wmean,ICSDVolum wmean,energysStab,metalloid,Crystal System,AtomicNum Density,density
"mp-300026541, Sb(PO3)4, LiSb(PO3)4, mp-26542, mp-26541",0.7991795396877384,1.8939215686274509,0.06762185092578203,0.0,4.531391223152942,6.166470588235295,0.03576093227941346,1.0,3.0,12.176470588235292,2.8907596845518118
"mp-300026549, Nb(PO3)4, LiNb(PO3)4, mp-26550, mp-26549",0.718751457709966,2.094117647058824,0.06390363388685588,0.0,4.269038281976471,5.93,0.0216883608347338,0.0,3.0,11.588235294117649,2.5517049034920576
"mp-300026629, TiP2O7, LiTiP2O7, mp-26630, mp-26629",0.7745431942170624,1.7590000000000001,0.07389005810602163,0.0,4.185515873013333,5.905666666666666,0.007411826750001182,0.0,1.0,10.8,2.7215531717552524
"mp-300026649, SnP2O7, Li2SnP2O7, mp-757192, mp-26649",0.943891786160788,1.5256666666666667,0.07150681258626809,0.0,4.738682539680001,6.218333333333334,0.0,0.0,2.0,13.6,3.4749610452282687
"mp-300026675, Sb(PO3)4, LiSb(PO3)4, mp-673069, mp-26675",0.8273835968992787,1.8939215686274509,0.07000831161145749,0.0,4.531391223152942,6.166470588235295,0.05218219801470703,1.0,1.0,12.176470588235292,2.992778251693517
"mp-300026695, CuPO4, LiCuPO4, mp-753519, mp-25449",0.9100499746523952,1.8344444444444443,0.07402305781060559,0.0,3.892235449733333,5.568888888888887,0.0,0.0,3.0,12.666666666666664,3.247443969962392
"mp-300026725, SnPO4, LiSnPO4, mp-673078, mp-26725",0.9927276645621324,1.4761111111111107,0.06326649312532143,0.0,5.1264021164,6.415555555555552,0.17310171173611175,0.0,1.0,16.166666666666668,3.741435083389375
"mp-300026741, Cu4(PO4)3, LiCu4(PO4)3, mp-26742, mp-26741",1.0816322018178643,1.9764912280701752,0.08238804686434943,0.0,3.881591478694737,5.482982456140351,0.017233680394735273,0.0,1.0,13.526315789473689,3.881749052908901
"mp-300026767, Nb(PO3)4, LiNb(PO3)4, mp-673088, mp-26767",0.8485813425629954,2.094117647058824,0.0754467081167916,0.0,4.269038281976471,5.93,0.03293828848179192,0.0,2.0,11.588235294117649,3.01262578267164
"mp-300026795, Cu5P3O13, LiCu5P3O13, mp-26796, mp-26795",1.1196024079579958,2.0076190476190474,0.08239482003725224,0.0,3.8321541950095237,5.423809523809523,0.007494385178569374,0.0,2.0,14.0,4.03060387932769
