,chargedensityvoldens,HeatFusion wmean,numberDensity,BCCenergy_p wstd,energysStab,NfValenc wstd,metalloid,BCCvolume_padiff wstd,density,nelements
"mp-300673073, SbP2O7, LiSbP2O7, mp-540379, mp-673073",0.901546534020336,1.947,0.06780031354362674,0.5470019087145029,0.051083520624999317,0.0,1.0,0.5111387048867901,3.3291776325467115,3.0
"mp-300673098, Bi(PO3)4, LiBi(PO3)4, mp-504324, mp-673098",0.9205249743345124,1.7236470588235295,0.06746068044724261,0.6178528156994537,0.0246031968749989,0.3882154877102614,0.0,0.7394379944175832,3.4586065232841383,3.0
"mp-300673101, Sn4(PO4)3, LiSn4(PO4)3, mp-540395, mp-673101",1.1566324364179923,1.5238596491228067,0.0663985676293372,0.3662625987427608,0.08893712006578891,0.0,0.0,0.2376833853836933,4.4088691896917895,3.0
"mp-300673119, Sn2P3O10, LiSn2P3O10, mp-673117, mp-673119",0.8491195370426565,1.602666666666667,0.0583232472089724,0.4623850237541385,0.16224252137500006,0.0,0.0,0.26465735155015946,3.1658668373870937,3.0
"mp-300673126, Sb(PO3)4, LiSb(PO3)4, mp-504350, mp-673126",0.8797101829142733,1.8939215686274509,0.07443587816345361,0.6179904956020561,0.043466539191178384,0.0,1.0,0.7032883897774246,3.182051847638533,3.0
"mp-300673145, Cu4(PO4)3, LiCu4(PO4)3, mp-673151, mp-673145",1.0432416681214418,1.9764912280701752,0.07946383558068718,0.3774565727857387,0.025822751973683108,0.0,0.0,0.5843593707704862,3.7439735525435287,3.0
"mp-300673706, Mo3Se4, Li7(Mo3Se4)4, mp-21021, mp-673706",1.65546622835399,9.94285714285714,0.04557022738082217,1.4953827764285714,0.0645735321428571,0.0,0.0,1.6428571428571428,6.52566258304488,2.0
"mp-300675779, Mo3S4, Li(Mo3S4)2, mp-2164, mp-675711",1.344769119948575,8.523142857142856,0.05104536201771031,1.4662261935714282,0.06656829857142732,0.0,0.0,2.904821428571428,5.038301448211096,2.0
"mp-300684052, Sn6P7O24, LiSn6P7O24, mp-684053, mp-684052",1.0186354240194564,1.6032432432432433,0.06504445653617888,0.4078748021244545,0.08539156907094636,0.0,0.0,0.18213506455138787,3.833035450477832,3.0
"mp-300684082, Sb(PO3)4, LiSb(PO3)4, mp-684083, mp-684082",0.7112804999764776,1.8939215686274509,0.06018435351162563,0.6179904956020561,0.07226330360294053,0.0,1.0,0.7032883897774246,2.5728148577768235,3.0
"mp-300684090, SbP2O7, LiSbP2O7, mp-25896, mp-684090",1.0043530801708649,1.947,0.07553182356592134,0.5470019087145029,0.12829714262499792,0.0,1.0,0.5111387048867901,3.7088155558355402,3.0
"mp-300684093, Bi(PO3)4, LiBi(PO3)4, mp-25906, mp-684093",0.8619664118419861,1.7236470588235295,0.063169215704948,0.6178528156994537,0.02612667378676381,0.3882154877102614,0.0,0.7394379944175832,3.2385896504369778,3.0
"mp-300684104, Sb2P5O16, LiSb2P5O16, mp-25946, mp-684104",0.7488854528592926,1.968115942028985,0.05818452758107144,0.5604838666848502,0.005514205923912385,0.0,1.0,0.5907281819505802,2.748895491290308,3.0
"mp-300684106, SbP2O7, LiSbP2O7, mp-25950, mp-684106",0.9041083911322816,1.947,0.06799297660525408,0.5470019087145029,0.03854365237499824,0.0,1.0,0.5111387048867901,3.3386379067233927,3.0
"mp-300684109, BiP2O7, LiBiP2O7, mp-25940, mp-684109",1.0945386102150805,1.6575333333333333,0.06672806062977557,0.5467930444816732,0.0515700254375,0.6599663291074445,0.0,0.5747462821633702,4.242968778162978,3.0
"mp-300684427, Sb(PO3)4, LiSb(PO3)4, mp-26150, mp-684427",0.9067955124210948,1.8939215686274509,0.07672767872043687,0.6179904956020561,0.053013829926471516,0.0,1.0,0.7032883897774246,3.280023798486668,3.0
