,ShannonRadii,AtomicVolum wmean,density,HeatFusion wmean,metalloid,VegardVolume,BulkModulus wstd,NfValenc wstd,energysStab,SpaceGroupNumber wstd,q6,HeatCapacityMass wstd,n_ws^third wmean,sq_pyr
"mp-300019340, VO2, Li2V3O6, mp-714944, mp-762271",0.456138319,6199.706539,3.721442125,3.656666667,0,0.975060142,26.66666667,0,0.14459902,34.16666667,0.377355242,0.2245,0.273333333,0.955843335
"mp-300019377, La2MoO6, LiLa2MoO6, mp-25581, mp-19377",0.528770292,4134.953525,5.55613642,1.896296296,0,0.846147821,10.88107555,0,0.059277114,14.33414679,0.28524994,0.271785475,0.152962963,0.360979294
"mp-300019431, YMo3O8, LiYMo3O8, mp-25579, mp-19431",0.513281286,4133.808144,5.168142677,3.488611111,0,0.989167856,26.33740592,0,0.110641144,21.55122379,0.311291273,0.268302882,0.181111111,0.709237885
"mp-300019433, ScMo3O8, LiScMo3O8, mp-632694, mp-19433",0.482746245,4133.585813,5.131680721,3.563888889,0,0.992922268,26.05842794,0,0.14578881,21.55122379,0.31141263,0.262628102,0.182777778,1.005973154
"mp-300019445, La4NiO8, LiLa4NiO8, mp-543085, mp-19445",0.453742354,3817.913877,6.809095939,1.129230769,0,1.189217352,5.708685149,0,0.078125496,22.68386052,0.243526123,0.244342954,0.165897436,0.642593355
"mp-300019492, Mn(PO3)3, LiMn(PO3)3, mp-25697, mp-19492",0.530531585,4292.990502,3.025325945,1.807948718,0,0.813874466,3.893554072,0,0.019220156,6.627399148,0.310947454,0.255612474,0.168205128,0.332271337
"mp-300019615, V2(PO4)3, LiV2(PO4)3, mp-32518, mp-540147",0.526025178,4376.837219,2.957058293,1.985490196,0,0.806307716,8.453186555,0,0.016002415,11.12551162,0.265481244,0.261876209,0.161372549,0.204574951
"mp-300019616, Na2Fe(Si2O5)3, Na2LiFe(Si2O5)3, mp-851041, mp-19616",0.574905752,2907.226144,2.643937377,3.370520833,1,0.813173018,10.11957738,0,0.080888129,19.84683922,0.281745761,0.212869592,0.129270833,0.253371741
"mp-300019623, VAsO5, LiVAsO5, mp-543108, mp-19623",0.575642479,4428.407366,3.547680078,2.24,1,0.8306014,10.11588186,0,0,9.962059545,0.275238046,0.281717771,0.146666667,0.165338178
"mp-300019667, Ni2P3O10, LiNi2P3O10, mp-25610, mp-19667",0.521680712,4133.966591,3.498772594,2.061777778,0,0.846774231,10.8324615,0,0.0455965,12.5517595,0.281561998,0.241404281,0.187777778,0.368922132
"mp-300019682, Fe(WO4)2, LiFe(WO4)2, mp-25537, mp-19682",0.500123636,4508.517338,6.438680497,3.642121212,0,0.864889154,23.77967432,1.19993878,0.123652572,13.59164384,0.284834713,0.299527712,0.163333333,0.636931714
"mp-300021496, La4CuO8, LiLa4CuO8, mp-772213, mp-21496",0.459126043,3817.936663,6.808773691,1.02974359,0,0.925860957,4.652839476,0,0.063949013,22.68386052,0.253071527,0.245498329,0.158717949,0.849377177
"mp-300024979, Fe(GeO3)2, LiFe(GeO3)2, mvc-8638, mp-24979",0.570982234,4133.71416,4.172523237,3.296666667,1,0.893814609,8.904307615,0,0.114386159,17.22815509,0.305028534,0.260123918,0.167037037,0.48903911
