,chargedensityvoldens,HeatFusion wmean,numberDensity,NfValenc wmean,atomMean,AtomicWeigh wstd,AtomicWeigh wmean,metalloid,GSmagmom wmean,AtomicVolum wmean,deltashannonmax
"mp-300031615, Co5(P3O11)2, Li4Co5(P3O11)2, mp-31617, mp-31615",0.92030911,1.990707071,0.078031043,0,12.15151515,2.088055304,8.409043909,0,0.078205616,4133.864664,0.004650012
"mp-300031618, Co2P5O16, LiCo2P5O16, mp-31620, mp-31575",0.758466517,1.864057971,0.069935108,0,11.17391304,2.538218567,7.662689855,0,0.044883223,4313.597348,0.005979543
"mp-300031636, CrPO5, LiCrPO5, mp-540466, mp-31636",0.861952872,1.935238095,0.078689827,0,11.28571429,2.868733221,7.760326762,0,0,4428.632995,0.008758804
"mp-300031641, Cr(PO3)3, LiCr(PO3)3, mp-31690, mp-31641",0.78155903,2.015384615,0.074242083,0,10.84615385,2.894947678,7.407999641,0,0,4292.987431,0.004449703
"mp-300031642, CrP2O7, LiCrP2O7, mp-540267, mp-31642",0.833901268,1.987333333,0.078106301,0,11,2.625478744,7.531314133,0,0,4340.463378,0.012171394
"mp-300031643, CrP2O7, LiCrP2O7, mp-540291, mp-31643",0.797557754,1.987333333,0.074702232,0,11,2.625478744,7.531314133,0,0,4340.463378,0.005820467
"mp-300031644, Cr3(PO4)4, Li3Cr3(PO4)4, mp-705409, mp-31644",0.846239768,2.03884058,0.077127995,0,11.30434783,2.445781697,7.766286203,0,0,4313.395507,0.003483752
"mp-300031647, CrPO4, LiCrPO4, mp-31645, mp-31647",0.94952893,2.245555556,0.082673291,0,11.83333333,2.274759907,8.164859,0,0,4133.838651,0.021471788
"mp-300031648, CrP2O7, LiCrP2O7, mp-540430, mp-31648",0.891205339,1.987333333,0.083473614,0,11,2.625478744,7.531314133,0,0,4340.463378,0.006503894
"mp-300031649, CrP2O7, LiCrP2O7, mp-31632, mp-31649",0.924664981,1.987333333,0.086607569,0,11,2.625478744,7.531314133,0,0,4340.463378,0.026992312
"mp-300031654, Cr3(PO4)4, Li3Cr3(PO4)4, mp-31744, mp-31654",0.843312779,2.03884058,0.076861223,0,11.30434783,2.445781697,7.766286203,0,0,4313.395507,0.005207553
"mp-300031657, CrP2O7, LiCrP2O7, mp-540326, mp-31657",0.869587603,1.987333333,0.081448816,0,11,2.625478744,7.531314133,0,0,4340.463378,0.006346131
"mp-300031660, CrP2O7, LiCrP2O7, mp-31692, mp-31660",0.851391072,1.987333333,0.079744461,0,11,2.625478744,7.531314133,0,0,4340.463378,0.006213335
"mp-300031661, Cr2P3O11, LiCr2P3O11, mp-31719, mp-31661",0.874350238,2.084166667,0.079632612,0,11.3125,2.301844262,7.768893458,0,0,4262.979106,0.007755775
"mp-300031664, CrPO4, LiCrPO4, mp-18906, mp-31664",1.056087655,2.245555556,0.091951113,0,11.83333333,2.274759907,8.164859,0,0,4133.838651,0.023881411
"mp-300031670, CrP2O7, LiCrP2O7, mp-31656, mp-31670",0.884604181,1.987333333,0.082855325,0,11,2.625478744,7.531314133,0,0,4340.463378,0.00645572
"mp-300031702, Cr(PO3)4, LiCr(PO3)4, mp-31734, mp-31702",0.796492059,1.917647059,0.07750362,0,10.58823529,3.362378564,7.213410745,0,0,4377.084616,0.007104398
