,ShannonRadii,AtomicVolum wmean,density,HeatFusion wmean,metalloid,VegardVolume,BulkModulus wstd,NfValenc wstd,energysStab,SpaceGroupNumber wstd,q6,HeatCapacityMass wstd,n_ws^third wmean
"mp-300777706, Mn2Fe3Co3O16, Li4Mn2Fe3Co3O16, mp-772328, mp-761441",0.4109450394122079,3099.665622392912,4.630726477288709,1.2434374999999998,0.0,0.9723983482127606,9.158969306095527,0.0,0.10421267544270664,7.743633978146177,0.31463115466055164,0.2436202485854436,0.14354166666666668
"mp-300777767, Cu2(SO4)3, LiCu2(SO4)3, mp-768512, mp-768757",0.5166657015791578,4376.696578806287,3.2908922397765044,0.6863333333333334,0.0,0.8073812762212319,7.464673176790376,0.0,0.010423464117647718,7.734343488891105,0.28513005786821505,0.2673301262222524,0.05764705882352941
"mp-300777855, NbFe3Cu2(PO4)6, Li4NbFe3Cu2(PO4)6, mp-776878, mp-777855",0.5518729046797209,2480.327837991101,3.4567396555343315,1.1952777777777777,0.0,1.1454035135154583,4.987960814443087,0.0,0.05321231666666559,6.271712901277398,0.2589511698313221,0.2292804758476793,0.10994444444444444
"mp-300778223, Ti3Mn2Cr3O16, Li4Ti3Mn2Cr3O16, mp-776879, mp-778223",0.4119434267183381,3099.882998298538,4.118903524893419,1.4040625,0.0,0.968275078105275,7.255116728902438,0.0,0.10196071239583482,7.743633978146177,0.29338394034047943,0.24186045996887165,0.13510416666666664
"mp-300778249, TiNi3Sn2(PO4)6, Li4TiNi3Sn2(PO4)6, mp-777082, mp-778249",0.5424530283276118,2480.4800581536306,3.838668491766268,1.0967222222222222,0.0,1.1167460163193108,5.315177429880503,0.0,0.08710772238425868,6.019423293815067,0.2440148180043383,0.2294864599679945,0.10638888888888888
"mp-300778261, TiMn3Cr2(PO4)6, Li4TiMn3Cr2(PO4)6, mp-777183, mp-778261",0.5320338362487647,2480.3359835119377,3.3127246508675703,1.1744444444444444,0.0,1.1107022232909651,3.9656861533241217,0.0,0.07863476694444492,6.090460056818673,0.248755444771863,0.2276201907445117,0.1095
"mp-300778298, V4O7F5, Li3V4O7F5, mp-763973, mp-778298",0.5267158551804176,4650.183387394848,3.2611675282500485,1.8503125,0.0,1.0256406123563009,18.856180831641268,0.0,0.00859383375000089,24.646687432368857,0.2485242211738365,0.11407354779069315,0.13666666666666666
"mp-300778299, VPO5, LiVPO5, mvc-3279, mp-32409",0.5482780969187917,4428.716421546887,2.9939715022166675,1.9590476190476187,0.0,1.4621575625055665,10.42433051407459,0.0,0.010162056785713249,13.756383799461807,0.2834484168158603,0.26724699608433355,0.15666666666666665
"mp-300778320, Mn5V(PO4)6, Li4Mn5V(PO4)6, mp-773464, mp-778320",0.5437083801859214,3100.3953135221836,3.277774612734822,1.4067361111111112,0.0,1.1492917071903448,6.50538416606953,0.0,0.03939846777777767,11.296244117972995,0.2466561644867799,0.2384152042267469,0.13604166666666667
"mp-300778341, MnNi(PO4)2, Li4Mn3Ni3(PO4)6, mp-772336, mp-778341",0.5153755730202191,3100.357490926163,3.523778779495498,1.4422916666666667,0.0,1.1599222971574918,6.0900362615231325,0.0,0.034583966232638375,7.626821276113514,0.2472384359200094,0.2382366162659744,0.13874999999999998
"mp-300778395, CrPO5, LiCrPO5, mp-770751, mp-778395",0.5091387272416705,4428.632994844645,3.2593991826153768,1.935238095238095,0.0,0.8658263948960465,10.42433051407459,0.0,0.041790259107141736,13.756383799461807,0.3278628118166937,0.2687432834155161,0.16095238095238093
"mp-300778400, Fe2(SO4)3, Li2Fe2(SO4)3, mp-554954, mp-778400",0.5411244689132444,4376.694516964626,3.0594578427590577,0.6945686274509804,0.0,0.8063232521193548,9.12469093291929,0.0,0.006193467499999272,7.951602934937687,0.278135508234764,0.2652098789493881,0.06941176470588235
"mp-300778410, Fe3OF7, Li3Fe3OF7, mp-774191, mp-778410",0.6238566832325003,4510.266340384795,3.4382102464124427,1.3162121212121212,0.0,1.121086788102252,21.85602778212965,0.0,0.1112348945454542,27.154592628622627,0.38934150450649335,0.19929117274359395,0.1609090909090909
"mp-300778433, Cr2(PS4)3, LiCr2(PS4)3, mp-778446, mp-778530",0.9807469021209102,8.526015488897357,1.9462309796233448,2.3190588235294123,0.0,0.7910968501193234,7.276045501450444,0.0,0.015293761112133097,20.051682550032407,0.2428341436961129,0.19412616935144653,0.16490196078431374
"mp-300778458, Cu2(SO4)3, LiCu2(SO4)3, mp-768451, mp-778169",0.5263595400346287,4376.696578806287,3.1905110845722966,0.6863333333333334,0.0,1.116268560246633,7.464673176790376,0.0,0.0,7.734343488891105,0.2687054514050051,0.2673301262222524,0.05764705882352941
"mp-300778500, TiMn9O20, Li5TiMn9O20, mp-771265, mp-778500",0.4507129894940485,4133.016599857079,4.100544948200801,1.4971111111111108,0.0,0.9616140472019236,16.17573247144173,0.0,0.0569552986666686,27.285789726296247,0.3692661151545832,0.25575805165752713,0.17788888888888887
"mp-300778555, Mn2(SO4)3, Li2Mn2(SO4)3, mp-771368, mp-778555",0.532331777401316,4376.711589101727,3.053508496778557,0.6592745098039215,0.0,0.8067880446856959,6.359087440787772,0.0,0.0,7.300650669100237,0.2916012479493721,0.2642265696765365,0.06313725490196079
