,dVraw,VnormLiFormFrac,dVnormNumDens,dVperAtom,dVnormLiPerFormulaUnit,dVnormLiPerFormulaUnit2,dVoriginal,dVweight,dVdensity,VnormLiFrac,dVnormNumDensnorPerFormulaUnit,gravCap2,energy_grav3,energy_grav2,gravCap3,energy_vol2,volumetricCap3,energy_vol3,volumetricCap2,avgVolt2,avgVolt3
"mp-300764096, Li4V3Cr5O16, Li10V3Cr5O16, mp-778301, mp-764096",0.07485776551769316,0.6278577381749254,4.034011251847502,-0.7591077210703371,0.012476294252948864,0.012476294252948859,0.07485776551769319,-127.72566632460784,-0.014020099192244404,0.5481129677838379,0.2777237585412867,5.727337309980908e-05,0.00021977883790124208,3.6629806316873687e-05,0.00034364023859885447,9.179664165978714e-06,8.611844564411863e-05,5.507798499587229e-05,1.4353074274019772e-05,0.047876095012748365,0.047876095012748365
"mp-300764140, Li2Cr3NiO8, Li5Cr3NiO8, mp-775440, mp-764140",0.05090462526948422,0.6193755452380584,2.681316200621979,-0.8895192624216963,0.016968208423161418,0.016968208423161404,0.05090462526948425,-523.4586249455098,0.007132201191202651,0.5378131620747852,0.37366913130658863,7.964105182360408e-05,8.355887729806181e-05,2.785295909935393e-05,0.0002389231554708122,6.78514243235617e-06,5.820306684380408e-05,2.0355427297068507e-05,1.9401022281268027e-05,0.017802934706829934,0.017802934706829934
"mp-300764142, Li2MnV3O8, Li5MnV3O8, mp-775492, mp-764142",0.06574925386765736,0.624677194426006,3.7126048065884762,-0.8086985067205329,0.0219164179558858,0.021916417955885784,0.0657492538676574,-514.2635396009435,-0.005811561740191036,0.5442508789458644,0.5135560059393887,0.0001009796927213746,0.0001742467639455019,5.8082254648500634e-05,0.00030293907816412373,1.5293005361398846e-05,7.976358656491588e-05,4.587901608419654e-05,2.658786218830529e-05,0.03781814742323774,0.03781814742323774
"mp-300764149, Li2VCrO4, Li5V2Cr2O8, mp-763906, mp-764149",0.05391940211415431,0.2409286721591745,10.858993158098428,-0.1830527548980434,0.1078388042283085,0.10783880422830862,0.05391940211415425,-798.236517321187,-0.03294937412113118,0.1934867141691229,2.0933140978336806,0.0014830049280519818,-0.0017587485209922956,-0.003517497041984592,0.0007415024640259909,-0.0009078151818680457,0.00019137107613758373,-0.0004539075909340228,0.00038274215227516745,-0.1278898902185358,-0.1278898902185358
"mp-300764183, Li2MnCr3O8, Li5MnCr3O8, mp-774951, mp-764183",0.08942762999690007,0.6328347207412591,5.014939391379369,-0.6797829033502107,0.029809209998966708,0.029809209998966687,0.08942762999690013,-518.4675273144162,-0.027910173540039825,0.5541564466143861,0.6853827865915241,0.0001385186087308981,0.00018811981953555484,6.27066065118516e-05,0.0004155558261926944,1.5989903810918274e-05,0.00010596487449264218,4.7969711432754824e-05,3.5321624830880716e-05,0.04048339249780676,0.04048339249780676
"mp-300764280, LiMnF4, Li2MnF4, mp-764361, mp-764280",0.087248817828392,0.08024733289906698,-40.118438186941795,-0.5718085116355767,0.08724881782839189,0.087248817828392,0.08724881782839189,-196.10333764988468,-0.5169718560608186,-0.07304477828442191,-12.571671794742516,0.0004714224490837454,0.00012064541920677542,0.00012064541920677542,0.0004714224490837454,4.0255596587660214e-05,0.0001572989016694989,4.0255596587660214e-05,0.0001572989016694989,0.02232852979882598,0.02232852979882598
"mp-300764288, Li2MnF6, Li3MnF6, mp-778394, mp-764288",0.06954290673632565,0.376680764775508,8.398241100660712,-0.4810035077653759,0.06954290673632557,0.06954290673632565,0.06954290673632557,-410.4153076293703,-0.0295216026161848,0.30742307197278673,1.5312214536841466,0.00049235591545558,0.00011536092862512383,0.00011536092862512383,0.00049235591545558,3.8064480915885464e-05,0.00016245771051812325,3.8064480915885464e-05,0.00016245771051812325,0.016294176729794347,0.016294176729794347
"mp-300764311, Li2Cr3NiO8, Li5Cr3NiO8, mp-773779, mp-764311",0.07312530904332126,0.6272569506755971,3.897087150308446,-0.7685399840974725,0.02437510301444042,0.02437510301444042,0.07312530904332126,-261.57837610302516,-0.013721995399378873,0.5473834401060821,0.5370667975546466,0.00011440564577984216,0.00012115839962488366,4.038613320829456e-05,0.0003432169373395264,9.801451183732204e-06,8.329651267709224e-05,2.940435355119661e-05,2.7765504225697412e-05,0.02581383507597516,0.02581383507597516
"mp-300764341, Li9Fe4(SiO5)4, Li3FeSiO5, mp-762768, mp-764341",-0.049067582193857484,0.21130041845634576,-6.178930568697552,-2.1211133336117967,0.06879925607760769,-0.06542344292514331,0.05159944205820577,-1079.0616081654834,0.08208968917205603,0.14735180373659,-1.270063475703712,-0.0006013107103232405,-9.710908534548454e-05,-0.00012947878046064604,-0.00045098303274243036,-4.57281905053351e-05,-0.00015927426843650032,-3.429614287900132e-05,-0.0002123656912486671,-0.010565603761153607,-0.010565603761153607
"mp-300764350, Li2MnF5, Li3MnF5, mp-556229, mp-764350",0.09186639212237413,0.3894246846715399,11.042265259137995,-0.3534251506946759,0.09186639212237413,0.09186639212237413,0.09186639212237413,-372.8388185425402,-0.04533033074370402,0.3131027702554823,1.9456820563271144,0.0005852835844354628,0.00016674016091445534,0.00016674016091445534,0.0005852835844354628,5.769743786217196e-05,0.00020252687210755112,5.769743786217196e-05,0.00020252687210755112,0.026171615627815642,0.026171615627815642
