,chargedensityvoldens,HeatFusion wmean,numberDensity,NfValenc wmean,atomMean,AtomicWeigh wstd,AtomicWeigh wmean,metalloid,GSmagmom wmean,AtomicVolum wmean,deltashannonmax
"mp-300031606, Co(PO3)4, LiCo(PO3)4, mp-540467, mp-31606",0.797403599,1.8235294119999998,0.076320313,0.0,10.76470588,3.195669687,7.349432216,0.0,0.03036218,4377.063104999999,0.008828599
"mp-300031609, Co3(PO4)4, Li3Co3(PO4)4, mp-585416, mp-31609",0.944899985,1.8301449280000002,0.083238744,0.0,11.69565217,2.360106425,8.067899029,0.0,0.067324835,4313.3478079999995,0.007117020999999999
"mp-300031612, Co(PO3)4, LiCo(PO3)4, mp-540264, mp-31603",0.710687093,1.8235294119999998,0.06802058799999999,0.0,10.76470588,3.195669687,7.349432216,0.0,0.03036218,4377.063104999999,0.007868502
"mp-300031614, Co3(PO4)4, Li3Co3(PO4)4, mp-31551, mp-31614",0.838399243,1.8301449280000002,0.07385681200000001,0.0,11.69565217,2.360106425,8.067899029,0.0,0.067324835,4313.3478079999995,0.006314854
"mp-300031615, Co5(P3O11)2, Li4Co5(P3O11)2, mp-31617, mp-31615",0.92030911,1.9907070709999999,0.078031043,0.0,12.15151515,2.088055304,8.409043909,0.0,0.07820561599999999,4133.864664,0.004650012
"mp-300031618, Co2P5O16, LiCo2P5O16, mp-31620, mp-31575",0.758466517,1.864057971,0.069935108,0.0,11.17391304,2.538218567,7.662689855,0.0,0.044883223,4313.597347999999,0.005979543
"mp-300031636, CrPO5, LiCrPO5, mp-540466, mp-31636",0.861952872,1.935238095,0.078689827,0.0,11.28571429,2.8687332210000003,7.760326762,0.0,0.0,4428.632995,0.008758804
"mp-300031641, Cr(PO3)3, LiCr(PO3)3, mp-31690, mp-31641",0.78155903,2.015384615,0.074242083,0.0,10.84615385,2.8949476780000003,7.407999641,0.0,0.0,4292.9874310000005,0.004449703
"mp-300031642, CrP2O7, LiCrP2O7, mp-540267, mp-31642",0.833901268,1.987333333,0.078106301,0.0,11.0,2.625478744,7.5313141329999995,0.0,0.0,4340.463378,0.012171393999999999
"mp-300031643, CrP2O7, LiCrP2O7, mp-540291, mp-31643",0.7975577540000001,1.987333333,0.07470223200000001,0.0,11.0,2.625478744,7.5313141329999995,0.0,0.0,4340.463378,0.005820466999999999
"mp-300031644, Cr3(PO4)4, Li3Cr3(PO4)4, mp-705409, mp-31644",0.846239768,2.03884058,0.077127995,0.0,11.30434783,2.4457816969999997,7.766286203,0.0,0.0,4313.395507,0.003483752
"mp-300031647, CrPO4, LiCrPO4, mp-31645, mp-31647",0.94952893,2.245555556,0.082673291,0.0,11.83333333,2.274759907,8.164859,0.0,0.0,4133.838651,0.021471788
"mp-300031648, CrP2O7, LiCrP2O7, mp-540430, mp-31648",0.8912053390000001,1.987333333,0.083473614,0.0,11.0,2.625478744,7.5313141329999995,0.0,0.0,4340.463378,0.0065038940000000005
"mp-300031649, CrP2O7, LiCrP2O7, mp-31632, mp-31649",0.9246649809999999,1.987333333,0.08660756900000001,0.0,11.0,2.625478744,7.5313141329999995,0.0,0.0,4340.463378,0.026992312
"mp-300031654, Cr3(PO4)4, Li3Cr3(PO4)4, mp-31744, mp-31654",0.843312779,2.03884058,0.07686122299999999,0.0,11.30434783,2.4457816969999997,7.766286203,0.0,0.0,4313.395507,0.005207553
"mp-300031657, CrP2O7, LiCrP2O7, mp-540326, mp-31657",0.8695876029999999,1.987333333,0.081448816,0.0,11.0,2.625478744,7.5313141329999995,0.0,0.0,4340.463378,0.006346131
"mp-300031660, CrP2O7, LiCrP2O7, mp-31692, mp-31660",0.8513910720000001,1.987333333,0.079744461,0.0,11.0,2.625478744,7.5313141329999995,0.0,0.0,4340.463378,0.006213335
"mp-300031661, Cr2P3O11, LiCr2P3O11, mp-31719, mp-31661",0.874350238,2.084166667,0.079632612,0.0,11.3125,2.301844262,7.768893457999999,0.0,0.0,4262.979106000001,0.007755775
"mp-300031664, CrPO4, LiCrPO4, mp-18906, mp-31664",1.056087655,2.245555556,0.091951113,0.0,11.83333333,2.274759907,8.164859,0.0,0.0,4133.838651,0.023881411
"mp-300031670, CrP2O7, LiCrP2O7, mp-31656, mp-31670",0.8846041809999999,1.987333333,0.082855325,0.0,11.0,2.625478744,7.5313141329999995,0.0,0.0,4340.463378,0.00645572
"mp-300031702, Cr(PO3)4, LiCr(PO3)4, mp-31734, mp-31702",0.7964920590000001,1.917647059,0.07750362,0.0,10.58823529,3.3623785639999997,7.213410745,0.0,0.0,4377.084616,0.0071043980000000005
"mp-300031706, Cr2(PO4)3, LiCr2(PO4)3, mp-540211, mp-31652",0.806264973,1.965882353,0.074718653,0.0,11.11764706,2.607314971,7.625613451,0.0,0.0,4376.768514,0.003424557
"mp-300031709, Cr9(PO4)8, Li6Cr9(PO4)8, mp-31678, mp-31709",0.9185310409999999,2.342585034,0.078330759,0.0,12.08163265,2.35860329,8.35194419,0.0,0.0,4049.556862,0.004982192
"mp-300031712, Cr(PO3)3, LiCr(PO3)3, mp-764853, mp-31712",0.8825271859999999,2.015384615,0.08383327900000001,0.0,10.84615385,2.8949476780000003,7.407999641,0.0,0.0,4292.9874310000005,0.005024552
"mp-300031714, Cr(PO3)4, LiCr(PO3)4, mp-704231, mp-31714",0.7174782470000001,1.917647059,0.069815086,0.0,10.58823529,3.3623785639999997,7.213410745,0.0,0.0,4377.084616,0.0031998129999999997
"mp-300031728, CrPO4, LiCrPO4, mp-31707, mp-31728",1.0606106690000001,2.245555556,0.092344921,0.0,11.83333333,2.274759907,8.164859,0.0,0.0,4133.838651,0.005995923
"mp-300031730, Cr2P5O16, LiCr2P5O16, mp-31653, mp-31731",0.7478552079999999,2.003188406,0.070605049,0.0,10.91304348,2.746652436,7.4616146379999995,0.0,0.0,4313.629147,0.00478368
