,dVraw,VnormLiFormFrac,dVnormNumDens,dVperAtom,dVnormLiPerFormulaUnit,dVnormLiPerFormulaUnit2,dVoriginal,dVweight,dVdensity,VnormLiFrac,dVnormNumDensnorPerFormulaUnit,gravCap2,energy_grav3,energy_grav2,gravCap3,energy_vol2,volumetricCap3,energy_vol3,volumetricCap2,avgVolt2,avgVolt3
"mp-300779823, Li2Cr(Si2O5)3, Li3Cr(Si2O5)3, mp-775349, mp-779823",0.016539908068306068,0.3441805271241055,5.3747282162525,-0.6578642251207135,0.016539908068305964,0.016539908068306068,0.016539908068305964,-1983.1680789985733,-0.001877194380886216,0.31685471575427665,1.05332414665638,0.00029703729522213075,9.563958609294304e-05,9.563958609294304e-05,0.00029703729522213075,3.7598105846959197e-05,0.00011677214553608565,3.7598105846959197e-05,0.00011677214553608565,0.005325492748259664,0.005325492748259664
"mp-300779868, Li4Fe3Co2Ni3O16, Li10Fe3Co2Ni3O16, mp-766922, mp-779868",0.07244470125238722,0.627020395986026,3.708452253651688,-0.7722455154036695,0.01207411687539787,0.01207411687539787,0.07244470125238722,-135.8505164126756,-0.015442970501438743,0.5470961951258888,0.2556235693964269,5.908196289528571e-05,0.00011680584615091709,1.9467641025152852e-05,0.0003544917773717144,4.355055183575483e-06,7.930243066342184e-05,2.6130331101452895e-05,1.3217071777236972e-05,0.023870693677789927,0.023870693677789927
"mp-300779954, Li2MnOF3, Li3MnOF3, mp-767180, mp-779954",0.035987679476176045,0.3564917036428929,3.0432482838467725,-1.0473207411334746,0.03598767947617598,0.035987679476176045,0.03598767947617598,-329.53054705352775,0.012506409881975593,0.2645619470204491,0.5815858184654125,0.00019974159444346868,6.684541568776805e-05,6.684541568776805e-05,0.00019974159444346868,2.1236949551088682e-05,6.345838560214352e-05,2.1236949551088682e-05,6.345838560214352e-05,0.012043617659735807,0.012043617659735807
"mp-300780046, Li6WO6, Li8WO6, mp-775983, mp-780046",0.01784961669118923,0.2631524463917478,1.2852745443145477,-1.6416724842277877,0.008924808345594615,0.008924808345594617,0.01784961669118923,-192.2306896128353,0.024887366388950442,0.1497912842981705,0.08893015833806114,5.583763906903288e-05,9.583746848393926e-05,4.791873424196963e-05,0.00011167527813806576,1.1728285518931345e-05,2.733293289416969e-05,2.345657103786269e-05,1.3666466447084844e-05,0.015318180582253198,0.015318180582253198
"mp-300780086, Li7Mn(O2F)2, Li8Mn(O2F)2, mp-767185, mp-780086",0.055991445359091084,0.17139480263265267,13.212889916432085,-0.4322395299454541,0.05599144535909106,0.055991445359091084,0.05599144535909106,-277.5637984189989,-0.02104040376948856,0.11220871710641356,0.6555118728888232,0.0004438548435580878,0.00031117505341628736,0.00031117505341628736,0.0004438548435580878,0.00012656105981825104,0.0001805245593740624,0.00012656105981825104,0.0001805245593740624,0.0392541418739528,0.0392541418739528
"mp-300780107, Li6Cr3Fe(PO4)6, Li7Cr3Fe(PO4)6, mp-770489, mp-780107",0.043557501926338296,0.1786338025833478,28.283560560544327,0.8732942082982749,0.04355750192633834,0.043557501926338296,0.04355750192633834,-873.9054269150854,-0.033660696874419443,0.15809964764793166,1.8274948521973169,0.001349311539801495,0.0005420287955070995,0.0005420287955070995,0.001349311539801495,0.00018857232968082541,0.00046942675856832236,0.00018857232968082541,0.00046942675856832236,0.017497382634039157,0.017497382634039157
"mp-300780115, Li6Cr3Co(PO4)6, Li7Cr3Co(PO4)6, mp-770502, mp-780115",0.041349115705803983,0.17689193353575358,25.69928439272457,0.7693701508613612,0.04134911570580392,0.041349115705803983,0.04134911570580392,-877.0003515412512,-0.03164163758518602,0.15631423187414753,1.6786294326299382,0.0012856652410431347,0.00036766623856803696,0.00036766623856803696,0.0012856652410431347,0.00012416584687644555,0.000434186489560394,0.00012416584687644555,0.000434186489560394,0.011824752940612035,0.011824752940612035
"mp-300780131, Li6MnNi3(PO4)6, Li7MnNi3(PO4)6, mp-767655, mp-780131",0.042918114156950696,0.17813024291390905,27.424959455424233,0.8432053720917934,0.04291811415695079,0.042918114156950696,0.04291811415695079,-893.0475046369052,-0.033252336751855675,0.15758349898675694,1.7776418021624558,0.0013602262697121929,0.0002969646849662507,0.0002969646849662507,0.0013602262697121929,9.98902605847905e-05,0.0004575404531729762,9.98902605847905e-05,0.0004575404531729762,0.009369885388745778,0.009369885388745778
"mp-300780140, Li(CoO2)2, Li5(CoO2)4, mp-771481, mp-780140",0.09167638708283406,0.6335910488373979,4.491239772460647,-0.6675396703267934,0.12223518277711215,0.12223518277711208,0.0916763870828341,-1102.995447872433,-0.0334643015103176,0.5550748450168405,2.452393256983746,0.0006057193342137058,0.00017762110206395772,0.0002368281360852769,0.0004542895006602793,4.939354151591661e-05,9.474789474772846e-05,3.704515613693746e-05,0.00012633052633030458,0.03584423783342506,0.03584423783342506
"mp-300780142, Li(NiO2)2, LiNiO2, mp-774941, mp-764767",0.06561816742555063,-0.8768448785289032,-55.08953582674553,-0.6307849660246698,0.13123633485110142,0.13123633485110126,0.06561816742555071,-448.5957850169715,-0.7567476673428172,-1.1449655754616035,-35.0838196106943,0.0009561428849730627,0.00014416616404556905,0.0002883323280911381,0.00047807144248653146,6.239555107062803e-05,0.00010345538185939544,3.119777553531401e-05,0.0002069107637187909,0.019787669056823148,0.019787669056823148
