,Crystal System,symmetry ops,ShannonForce,meanbv,stdbv,meanValenceOcc
"mp-300026173, Bi3(PO5)2, LiBi3(PO5)2, mp-584116, mp-26173",2.0,1.0,0.0,-1.2596271618114934,0.9520016453474255,380.3333333333333
"mp-300026209, BiP2O7, LiBiP2O7, mp-26210, mp-26209",1.0,2.0,0.0,-1.5582205644482054,0.9824404353803246,438.2
"mp-300026223, Li3Cu(PO4)2, Li4Cu(PO4)2, mp-26224, mp-26223",1.0,2.0,-1.3525417895000529,-0.019738852529771905,0.45308848179088235,26401.14285714286
"mp-300026261, LiCu(PO3)4, Li2Cu(PO3)4, mp-26262, mp-26261",1.0,2.0,-2.2482739623161656,0.12445677612466231,0.48544790041253993,30622.333333333332
"mp-300026267, LiCu(PO3)4, Li2Cu(PO3)4, mp-672984, mp-26267",3.0,4.0,-1.9425695684005486,0.12445677612466247,0.48544790041253993,30622.333333333332
"mp-300026299, SnPO4, LiSnPO4, mp-672986, mp-26299",1.0,4.0,-2.804499760149438,0.09059302152506359,0.5524516865304836,30358.5
"mp-300026303, Cu9(PO4)8, Li6Cu9(PO4)8, mp-26304, mp-26303",2.0,2.0,-1.4547085776970994,-0.14119995839322177,0.4469051779839363,29791.0
"mp-300026311, Li3Cu(PO4)2, Li4Cu(PO4)2, mp-26794, mp-26312",1.0,2.0,-1.911038978053855,-0.01973885252977197,0.4530884817908823,26401.14285714286
"mp-300026311, Li4Cu(PO4)2, Li5Cu(PO4)2, mp-26312, mp-26311",1.0,2.0,-1.5498662045012817,0.02850317798993802,0.4419859194379549,24812.733333333334
"mp-300026341, SbP2O7, LiSbP2O7, mp-26342, mp-26341",1.0,2.0,0.0,-1.9002105167813146,1.0120287119681073,488.4
"mp-300026377, LiBi2P5O18, Li3Bi2P5O18, mp-672993, mp-26245",2.0,2.0,0.0,-1.5370477806530982,0.9479523292414437,433.2692307692308
"mp-300026377, Li3Bi2P5O18, Li5Bi2P5O18, mp-26245, mp-26377",2.0,2.0,0.0,-1.3877920179768632,0.9140374398681738,413.17857142857144
"mp-300026389, Nb2(PO4)3, LiNb2(PO4)3, mp-26390, mp-26389",1.0,4.0,-2.2067353853952008,0.1895789124792131,0.5108000651683634,32180.29411764706
"mp-300026407, SnP2O7, Li2SnP2O7, mp-757076, mp-26407",1.0,4.0,-1.9257064290042907,0.2074319335495535,0.5180930537284386,31986.8
"mp-300026409, Ti(PO3)4, LiTi(PO3)4, mp-540258, mp-26409",2.0,2.0,-1.9284009341644501,0.2365585224736003,0.5138563379720534,32356.529411764706
"mp-300026513, CuPO4, LiCuPO4, mp-673047, mp-26513",2.0,1.0,-1.9405582330308,-0.15511361187470518,0.4563657054465718,30360.833333333332
"mp-300026531, Cu2P3O10, LiCu2P3O10, mp-26532, mp-26531",1.0,4.0,0.0,-1.4936802251546084,0.8883472973979548,437.6666666666667
"mp-300026541, Sb(PO3)4, LiSb(PO3)4, mp-26542, mp-26541",3.0,4.0,0.0,-1.8807579593908925,1.0250751152081135,494.6470588235294
"mp-300026549, Nb(PO3)4, LiNb(PO3)4, mp-26550, mp-26549",3.0,8.0,-2.2712954818026656,0.2686670304259838,0.5091773985171317,32323.58823529412
