,deltaz,deltaz2,deltay,anisotropyMean,deltax2,deltay2,deltax, max Anisotropy
mp-300778830,0.03108609944984586,0.03108609944984586,0.03108609944984586,0.03108609944984586,0.03108609944984586,0.03108609944984586,0.03108609944984586,0.03108609944984586
mp-300778832,-0.004857302357472948,-0.004857302357472948,-0.004857302357472948,-0.004857302357472948,-0.004857302357472948,-0.004857302357472948,-0.004857302357472948,-0.004857302357472948
mp-300778861,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778864,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300778864,2.9145534220603846,2.9145534220603846,2.9145534220603846,2.9145534220603846,2.9145534220603846,2.9145534220603846,2.9145534220603846,2.9145534220603846
mp-300778864,-0.9797121344218817,-0.9797121344218817,-0.9797121344218817,-0.9797121344218817,-0.9797121344218817,-0.9797121344218817,-0.9797121344218817,-0.9797121344218817
mp-300779010,0.02092559964813212,0.02092559964813212,0.02092559964813212,0.02092559964813212,0.02092559964813212,0.02092559964813212,0.02092559964813212,0.02092559964813212
mp-300779026,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300779054,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300779056,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300779056,0.09701392210213287,0.09701392210213287,0.09701392210213287,0.09701392210213287,0.09701392210213287,0.09701392210213287,0.09701392210213287,0.09701392210213287
mp-300779070,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300779169,0.02706862408091637,0.02706862408091637,0.02706862408091637,0.02706862408091637,0.02706862408091637,0.02706862408091637,0.02706862408091637,0.02706862408091637
mp-300779201,inf,inf,inf,inf,inf,inf,inf,inf
mp-300779205,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300779303,-0.007198489480326531,-0.007198489480326531,-0.007198489480326531,-0.007198489480326531,-0.007198489480326531,-0.007198489480326531,-0.007198489480326531,-0.007198489480326531
mp-300779340,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300779345,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300779379,inf,inf,inf,inf,inf,inf,inf,inf
mp-300779382,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300779396,inf,inf,inf,inf,inf,inf,inf,inf
mp-300779400,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300779753,inf,inf,inf,inf,inf,inf,inf,inf
mp-300779755,inf,inf,inf,inf,inf,inf,inf,inf
mp-300779764,inf,inf,inf,inf,inf,inf,inf,inf
mp-300779806,inf,inf,inf,inf,inf,inf,inf,inf
mp-300779809,inf,inf,inf,inf,inf,inf,inf,inf
mp-300779816,0.10557048463314578,0.10557048463314578,0.10557048463314578,0.10557048463314578,0.10557048463314578,0.10557048463314578,0.10557048463314578,0.10557048463314578
mp-300779822,inf,inf,inf,inf,inf,inf,inf,inf
mp-300779823,0.011168890126604492,0.011168890126604492,0.011168890126604492,0.011168890126604492,0.011168890126604492,0.011168890126604492,0.011168890126604492,0.011168890126604492
mp-300779823,0.009968421360568858,0.009968421360568858,0.009968421360568858,0.009968421360568858,0.009968421360568858,0.009968421360568858,0.009968421360568858,0.009968421360568858
mp-300779825,inf,inf,inf,inf,inf,inf,inf,inf
mp-300779835,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300779868,0.02753544951271114,0.02753544951271114,0.02753544951271114,0.02753544951271114,0.02753544951271114,0.02753544951271114,0.02753544951271114,0.02753544951271114
mp-300779954,0.0025722995295996967,0.0025722995295996967,0.0025722995295996967,0.0025722995295996967,0.0025722995295996967,0.0025722995295996967,0.0025722995295996967,0.0025722995295996967
mp-300779968,inf,inf,inf,inf,inf,inf,inf,inf
mp-300779990,inf,inf,inf,inf,inf,inf,inf,inf
mp-300779996,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300779999,0.02305315980404288,0.02305315980404288,0.02305315980404288,0.02305315980404288,0.02305315980404288,0.02305315980404288,0.02305315980404288,0.02305315980404288
mp-300780037,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300780046,-0.04532524934562243,-0.04532524934562243,-0.04532524934562243,-0.04532524934562243,-0.04532524934562243,-0.04532524934562243,-0.04532524934562243,-0.04532524934562243
mp-300780086,0.003986789314071005,0.003986789314071005,0.003986789314071005,0.003986789314071005,0.003986789314071005,0.003986789314071005,0.003986789314071005,0.003986789314071005
mp-300780107,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300780107,0.0530307424876438,0.0530307424876438,0.0530307424876438,0.0530307424876438,0.0530307424876438,0.0530307424876438,0.0530307424876438,0.0530307424876438
mp-300780115,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300780115,0.05223349184588836,0.05223349184588836,0.05223349184588836,0.05223349184588836,0.05223349184588836,0.05223349184588836,0.05223349184588836,0.05223349184588836
mp-300780131,0.04943349098040765,0.04943349098040765,0.04943349098040765,0.04943349098040765,0.04943349098040765,0.04943349098040765,0.04943349098040765,0.04943349098040765
mp-300780140,inf,inf,inf,inf,inf,inf,inf,inf
mp-300780140,0.03198886792234101,0.03198886792234101,0.03198886792234101,0.03198886792234101,0.03198886792234101,0.03198886792234101,0.03198886792234101,0.03198886792234101
mp-300780142,inf,inf,inf,inf,inf,inf,inf,inf
mp-300780142,-0.2844741411341849,-0.2844741411341849,-0.2844741411341849,-0.2844741411341849,-0.2844741411341849,-0.2844741411341849,-0.2844741411341849,-0.2844741411341849
mp-300780142,0.6431609973141543,0.6431609973141543,0.6431609973141543,0.6431609973141543,0.6431609973141543,0.6431609973141543,0.6431609973141543,0.6431609973141543
mp-300780145,0.004140602232888775,0.004140602232888775,0.004140602232888775,0.004140602232888775,0.004140602232888775,0.004140602232888775,0.004140602232888775,0.004140602232888775
mp-300780145,0.0192189194257415,0.0192189194257415,0.0192189194257415,0.0192189194257415,0.0192189194257415,0.0192189194257415,0.0192189194257415,0.0192189194257415
mp-300780153,-0.041979927965639284,-0.041979927965639284,-0.041979927965639284,-0.041979927965639284,-0.041979927965639284,-0.041979927965639284,-0.041979927965639284,-0.041979927965639284
mp-300780153,-0.008091553911970929,-0.008091553911970929,-0.008091553911970929,-0.008091553911970929,-0.008091553911970929,-0.008091553911970929,-0.008091553911970929,-0.008091553911970929
mp-300780157,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300780161,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300780161,0.0034622403010451386,0.0034622403010451386,0.0034622403010451386,0.0034622403010451386,0.0034622403010451386,0.0034622403010451386,0.0034622403010451386,0.0034622403010451386
mp-300780179,0.06350461600176249,0.06350461600176249,0.06350461600176249,0.06350461600176249,0.06350461600176249,0.06350461600176249,0.06350461600176249,0.06350461600176249
